product_id,product_name,category,price,avg_rating,n_reviews
P0099,Product 99,Beauty,43.67,3.6,654
P0100,Product 100,Sports,75.73,4.8,242
P0101,Product 101,Toys,33.55,2.8,533
P0102,Product 102,Clothing,141.67,3.7,355
P0103,Product 103,Clothing,25.42,2.5,1079
P0104,Product 104,Home & Garden,502.79,3.7,555
P0105,Product 105,Clothing,61.91,2.6,1978
P0106,Product 106,Clothing,14.05,2.8,1111
P0107,Product 107,Beauty,11.35,2.8,1763
P0108,Product 108,Home & Garden,53.65,4.1,1846
P0109,Product 109,Beauty,26.48,4.4,1956
P0110,Product 110,Toys,67.63,4.0,1106
P0111,Product 111,Automotive,53.16,4.9,803
P0112,Product 112,Toys,30.79,3.4,258
P0113,Product 113,Automotive,14.2,3.2,56
P0114,Product 114,Beauty,7.28,4.7,1154
P0115,Product 115,Toys,21.19,3.1,223
P0116,Product 116,Home & Garden,77.98,4.9,248
P0117,Product 117,Electronics,41.02,2.5,1089
P0118,Product 118,Beauty,9.53,4.9,359
P0119,Product 119,Automotive,39.38,2.6,116
P0120,Product 120,Sports,48.68,4.7,840
P0121,Product 121,Automotive,13.68,3.8,57
P0122,Product 122,Sports,38.62,5.0,1606
P0123,Product 123,Clothing,35.1,2.7,346
P0124,Product 124,Toys,10.56,3.9,1059
P0125,Product 125,Sports,47.36,4.9,813
P0126,Product 126,Automotive,58.02,3.8,1290
P0127,Product 127,Clothing,97.81,4.1,17
P0128,Product 128,Electronics,94.99,4.2,634
P0129,Product 129,Home & Garden,8.35,3.6,1900
P0130,Product 130,Home & Garden,12.96,4.1,1286
P0131,Product 131,Home & Garden,55.43,4.0,1725
P0132,Product 132,Sports,55.36,4.8,728
P0133,Product 133,Electronics,55.43,2.6,312
P0134,Product 134,Sports,1560.45,3.2,648
P0135,Product 135,Toys,58.61,4.9,65
P0136,Product 136,Sports,103.09,4.7,735
P0137,Product 137,Electronics,85.97,3.6,535
P0138,Product 138,Electronics,63.52,4.1,483
P0139,Product 139,Toys,24.16,3.2,37
P0140,Product 140,Electronics,70.74,3.0,87
P0141,Product 141,Automotive,15.29,3.7,1249
P0142,Product 142,Electronics,26.13,3.4,1419
P0143,Product 143,Home & Garden,20.38,4.0,374
P0144,Product 144,Automotive,35.94,2.7,675
P0145,Product 145,Automotive,335.18,4.9,535
P0146,Product 146,Toys,5.12,5.0,708
P0147,Product 147,Books,65.78,4.2,1345
P0148,Product 148,Books,6.6,3.8,892
P0149,Product 149,Electronics,20.66,3.3,1040
P0150,Product 150,Automotive,98.39,4.5,1036
P0151,Product 151,Books,35.31,4.2,1656
P0152,Product 152,Books,11.27,2.9,928
P0153,Product 153,Electronics,16.19,4.8,759
P0154,Product 154,Books,65.34,4.6,372
P0155,Product 155,Sports,15.95,4.9,1784
P0156,Product 156,Clothing,41.12,4.3,1541
P0157,Product 157,Toys,34.66,4.0,1307
P0158,Product 158,Clothing,17.26,3.5,1539
P0159,Product 159,Electronics,282.58,4.8,815
P0160,Product 160,Home & Garden,62.42,4.7,748
P0161,Product 161,Toys,4.37,2.6,1916
P0162,Product 162,Electronics,39.9,2.6,1048
P0163,Product 163,Automotive,17.09,3.4,1225
P0164,Product 164,Home & Garden,77.67,4.5,1664
P0165,Product 165,Clothing,14.99,5.0,494
P0166,Product 166,Electronics,29.53,2.9,37
P0167,Product 167,Automotive,54.87,4.0,723
P0168,Product 168,Toys,78.71,3.5,1072
P0169,Product 169,Toys,9.97,4.9,1986
P0170,Product 170,Beauty,23.7,4.6,1306
P0171,Product 171,Automotive,20.6,4.6,1264
P0172,Product 172,Sports,17.23,3.7,95
P0173,Product 173,Books,193.53,3.5,1507
P0174,Product 174,Home & Garden,49.65,3.2,135
P0175,Product 175,Automotive,9.39,2.6,821
P0176,Product 176,Beauty,82.92,4.7,546
P0177,Product 177,Books,276.48,4.5,154
P0178,Product 178,Books,92.99,5.0,1558
P0179,Product 179,Electronics,7.25,5.0,1245
P0180,Product 180,Books,20.4,3.9,34
P0181,Product 181,Sports,117.56,4.4,1613
P0182,Product 182,Toys,16.32,4.9,1427
P0183,Product 183,Beauty,51.62,4.6,76
P0184,Product 184,Books,71.85,3.1,242
P0185,Product 185,Electronics,13.11,3.6,118
P0186,Product 186,Sports,31.2,2.8,1179
P0187,Product 187,Clothing,1.3,4.9,120
P0188,Product 188,Toys,11.89,4.0,237
P0189,Product 189,Toys,25.72,3.1,120
P0190,Product 190,Beauty,9.51,4.2,1503
P0191,Product 191,Toys,169.43,4.0,43
P0192,Product 192,Books,7.92,3.4,632
P0193,Product 193,Electronics,21.33,2.8,1809
P0194,Product 194,Toys,37.74,4.2,1969
P0195,Product 195,Toys,139.95,3.8,1402
P0196,Product 196,Clothing,7.88,4.4,757
P0197,Product 197,Clothing,105.97,3.8,604
P0198,Product 198,Home & Garden,33.46,4.6,1587
P0199,Product 199,Sports,12.41,3.9,434
P0200,Product 200,Books,52.57,3.9,622
